0,Piano,Acoustic Grand Piano,Piano
1,Piano,Bright Acoustic Piano,Piano
2,Piano,Electric Grand Piano,Electric Piano
3,Piano,Honky-tonk Piano,Honky-tonk Piano
4,Piano,Rhodes Piano,Piano
5,Piano,Chorused Piano,Piano
6,Piano,Harpsichord,Harpsichord
7,Piano,Clavinet,Clavinet
8,Chromatic Percussion,Celesta,Celesta
9,Chromatic Percussion,Glockenspiel,Glockenspiel
10,Chromatic Percussion,Music box,Music box
11,Chromatic Percussion,Vibraphone,Vibraphone
12,Chromatic Percussion,Marimba,Marimba
13,Chromatic Percussion,Xylophone,Xylophone
14,Chromatic Percussion,Tubular Bells,Tubular Bells
15,Chromatic Percussion,Dulcimer,Dulcimer
16,Organ,Hammond Organ,Hammond Organ
17,Organ,Percussive Organ,Percussive Organ
18,Organ,Rock Organ,Rock Organ
19,Organ,Church Organ,Church Organ
20,Organ,Reed Organ,Reed Organ
21,Organ,Accordion,Accordion
22,Organ,Harmonica,Harmonica
23,Organ,Tango Accordion,Tango Accordion
24,Guitar,Acoustic Guitar (nylon),Acoustic Guitar
25,Guitar,Acoustic Guitar (steel),Acoustic Guitar
26,Guitar,Electric Guitar (jazz),Electric Guitar
27,Guitar,Electric Guitar (clean),Clean Electric Guitar
28,Guitar,Electric Guitar (muted),Electric Guitar
29,Guitar,Overdriven Guitar,Overdriven Guitar
30,Guitar,Distortion Guitar,Distortion Guitar
31,Guitar,Guitar Harmonics,Guitar Harmonics
32,Bass,Acoustic Bass,Acoustic Bass
33,Bass,Electric Bass (finger),Electric Bass
34,Bass,Electric Bass (pick),Electric Bass
35,Bass,Fretless Bass,Fretless Bass
36,Bass,Slap Bass 1,Slap Bass
37,Bass,Slap Bass 2,Slap Bass
38,Bass,Synth Bass 1,Synth Bass
39,Bass,Synth Bass 2,Synth Bass
40,Strings,Violin,Violin
41,Strings,Viola,Viola
42,Strings,Cello,Cello
43,Strings,Contrabass,Contrabass
44,Strings,Tremolo Strings,Tremolo Strings
45,Strings,Pizzicato Strings,Pizzicato Strings
46,Strings,Orchestral Harp,Orchestral Harp
47,Strings,Timpani,Timpani
48,Ensemble,String Ensemble 1,String Ensemble
49,Ensemble,String Ensemble 2,String Ensemble
50,Ensemble,Synth Strings 1,Synth Strings
51,Ensemble,Synth Strings 2,Synth Strings
52,Ensemble,Choir Aahs,Choir Aahs
53,Ensemble,Voice Oohs,Voice Oohs
